# ObsMCLauncher MOD翻译文件
# 格式：curseforge_id|mod_ids|chinese_name|abbr
# 数据来源：mcmod百科 + HMCL + PCL2 融合
#
calamity-mod-astral-infection-recreated-in||"Calamity Mod: Astral Infection... recreated in Minecraft" MUSIC EXTENSION|
to-the-bat-poles|adpoles|"To the Bat Poles!"|
bedrock-edition-features|bedrock_edition_features,bedrockeditionfeatures|"基岩"特性|BEF
dustrial-decor|dustrial_decor|'Dustrial Decor|
|dustrial_decor|'Dustrial Decor Fabric|
fsu|stringunpatched|(Neo)Forge 常亮绊线特性恢复|FSU
unofficial-bosses-of-mass-destruction-dungeon|da|(Unofficial) Bosses of Mass Destruction + Dungeon Additions|(Unofficial)BOMD+DA
as-a-creeper|as_a_creeper_hileb|*的和你爆了|AACH
is-a-mod-by-vazkii||...is a mod by Vazkii|
dank-null|danknull|/dank/null|
dank-null-no_rce|danknull|/dank/null/no_RCE/|
tank-null|tanknull|/tank/null|
ooo-jar|ashes1ashes|000.jar / ooo.jar|
happyghast-on-1-12-2,happyghast_on_1.12.2|happyghaston1122,suikehappyghast|1.12.2的快乐恶魂|
cherry-on-1-12-2,cherry_on_1.12.2|cherryon1122,suikecherry|1.12.2的樱花|
rawore-on-1-12-2,rawore_on_1.12.2|raworeon1122,suikerawore|1.12.2的粗矿|
bubble-column-elevator-backport|113_water_mechanics,bubblecolumnelevatorbackport|1.13水域机制|
|preemptiveedition|1.17“抢先版”|
|pvp|1.8 PVP Mod|
|123Technology|123科技|123t
|the128tick|128Tick|1T
|mr_2032_worldheight|2032 World Height|
|21points|21点|21P
|24-hour-time-format|24-Hour Time Format|
hour-clock-24|hourclock24|24小时制|24HC
minecraft024|m24|24点|m24
|flat-minecraft|2D Minecraft|
d-furnace|furnace3d|3D Furnace|
d-placeable-food-fabric-forge|placeable_food|3D Placeable Food|
3dskinlayers,skin-layers-3d|skinlayers,skinlayers3d|3D 皮肤层|
stefinus-3d-guns-mod,stefinus-3d-guns-mod-s3dgm|stefinus3dgunsmod,stefinus3dgunsmods3dgm,stefinusguns|3D枪械|S3DGM
3d_maneuver_gear,d-maneuver-gear|3DManeuverGear,dmaneuvergear|3D立体机动装置|
|4space|4-Space|4S
a-bad-experience|a_bad_experience|A Bad Experience|
|acd_nether|A Cold Day In The Nether|
a-cute-little-crock-pot|crockpot|A Cute Little Crock Pot|
a-foe-on-fire||A Foe On Fire|
a-good-place|a_good_place|A Good Place|
alet|alet|A Little Extra Tiles|ALET
a-lot-of-useless-stuff|a_lot_of_useless_stuff|A Lot Of Useless Stuff|
a-magic-way|amw|A Magic Way|
a-man-with-plushies|a_man_with_plushies|A Man With Plushies|
a-night-stalker|man|A Night Stalker|
apex-a-proper-equipment-expansion|apex|A Proper Equipment Expansion|APEx
|aswwli|A Strange World We Live In|ASWWLI
|a_light|A light ：Color beacon|
|apeeling|A-peel-ing|
aa-farmer-compat|farmeradditions|AA Farmer Compat|
aaa-particles|aaa_particles|AAA Particles|
aaa-particles-world|aaa_particles_world|AAA Particles: World|
|acme_admin|ACME Admin Tools|
acsguis|sqript|ACsGuis|
ae-additions-extra-cells-2-fork|ae2additions,aeadditions|AE Additions - ExtraCells2 Fork|EC2F
ae-inventory-profiles|ae_inventory_profiles|AE Inventory Profiles|
ae-recipe-tool|ae_recipe_tool|AE Recipe Tool|
ae2-mousetweaks-fix|ae2mtfix|AE2 + Mouse Tweaks Fix|
forge-ae2-additional-opportunity|ae2ao|AE2 Additional Opportunity|AE2AO
ae2-alchemistry-addon|ae2alchemistryaddon|AE2 Alchemistry Addon|
ae2-jei-integration|ae2jeiintegration|AE2 JEI Integration|
ae2-mega-things|ae2_mega_things|AE2 MEGA Things|
ae2-network-analyser|ae2netanalyser|AE2 Network Analyser|
ae2-network-visualiser|aenetvistool|AE2 Network Visualiser|
ae2-qol-recipes|ae2qolrecipes|AE2 QoL Recipes|
ae2-retex-port|ae2retexport|AE2 Retex Port|
ae2-stuff|ae2stuff|AE2 Stuff|
ae2-stuff-unofficial|ae2stuff|AE2 Stuff Unofficial|
ae2-stuff-extended|ae2stuff|AE2 Stuff Unofficial: Extended|
ae2things|ae2things|AE2 Things|
ae2_tools|ae2_tools|AE2 Tool's Complement Compat|
ae2-web-integration|ae2webintegration-core|AE2 Web Integration|
ae2wtlib|ae2wtlib|AE2 Wireless Terminal Library|AE2WTLib
ae2-wireless-terminal-lts||AE2 Wireless Terminal-LTS|
ae2-extras|ae2extras|AE2 附加|
ae2-better-villagers|ae_better_villagers|AE2: Better Villagers|
|ae2_unpowered|AE2: Unpowered|
ae2cc-bridge|ae2cc|AE2CC Bridge|
|appliedenergistics2|AE2UEL Extra|
ae2fix|ae2fix|AE2修复|
ae2-toggleable-viewcell,ae2-toogleable-view-cell|ae2_toggleable_view_cell,ae2toogleableviewcell|AE2可切换显示元件|
ae2-crafting-tree-legacy|ae2craftingtreelegacy,ae2ctl|AE2合成树-传统版|AE2CTL
ae2-utilities|ae2utilities|AE2实用设备|AE2U
